hisp_race,total_pop,case_tot,caserate100k,ageadjustedcaserate100k,deaths,deathrate100k,ageadjusteddeathrate100k,DateUpdated
Hispanic,589809,2269,385,,109,18,,04/20/2020
NH Asian,187532,215,115,,14,7,,04/20/2020
NH Black,387134,1823,471,,184,48,,04/20/2020
NH Other,0,118,0,,11,0,,04/20/2020
NH White,2408190,5101,212,,845,35,,04/20/2020
Uknown,0,8837,0,,38,0,,04/20/2020
Hispanic,589809,5079,861,,234,40,,05/05/2020
NH American Indian or Alaskan Native,9566,30,314,,0,0,,05/05/2020
NH Asian or Pacific Islander,177966,444,249,,25,14,,05/05/2020
NH Black,387134,3720,961,,399,103,,05/05/2020
NH Multiracial,,43,,,8,,,05/05/2020
NH Other,,163,,,14,,,05/05/2020
NH White,2408190,9964,414,,1879,78,,05/05/2020
Unknown,,11178,,,74,,,05/05/2020
Hispanic,589809,6669,1131,,294,50,,05/18/2020
NH American Indian or Alaskan Native,9566,38,397,,1,10,,05/18/2020
NH Asian or Pacific Islander,177966,561,315,,35,20,,05/18/2020
NH Black,387134,4788,1237,,512,132,,05/18/2020
NH Multiracial,,66,,,13,,,05/18/2020
NH Other,,193,,,15,,,05/18/2020
NH White,2408190,12185,506,,2520,105,,05/18/2020
Unknown,,13930,,,82,,,05/18/2020
Hispanic,589809,6847,1161,,305,52,,05/19/2020
NH American Indian or Alaskan Native,9566,38,397,,1,10,,05/19/2020
NH Asian or Pacific Islander,177966,563,316,,35,20,,05/19/2020
NH Black,387134,4904,1267,,519,134,,05/19/2020
NH Multiracial,,68,,,13,,,05/19/2020
NH Other,,198,,,15,,,05/19/2020
NH White,2408190,12455,517,,2560,106,,05/19/2020
Unknown,,13944,,,81,,,05/19/2020
Hispanic,589809,6945,1177,,312,53,,05/20/2020
NH American Indian or Alaskan Native,9566,38,397,,1,10,,05/20/2020
NH Asian or Pacific Islander,177966,571,321,,35,20,,05/20/2020
NH Black,387134,4959,1281,,525,136,,05/20/2020
NH Multiracial,,76,,,15,,,05/20/2020
NH Other,,199,,,14,,,05/20/2020
NH White,2408190,12606,523,,2600,108,,05/20/2020
Unknown,,13814,,,80,,,05/20/2020
Hispanic,589809,7051,1195,,316,54,,05/21/2020
NH American Indian or Alaskan Native,9566,39,408,,1,10,,05/21/2020
NH Asian or Pacific Islander,177966,576,324,,36,20,,05/21/2020
NH Black,387134,5029,1299,,533,138,,05/21/2020
NH Multiracial,,78,,,16,,,05/21/2020
NH Other,,203,,,13,,,05/21/2020
NH White,2408190,12783,531,,2639,110,,05/21/2020
Unknown,,13881,,,83,,,05/21/2020
Hispanic,589809,7120,1207,,320,54,,05/22/2020
NH American Indian or Alaskan Native,9566,39,408,,1,10,,05/22/2020
NH Asian or Pacific Islander,177966,579,325,,35,20,,05/22/2020
NH Black,387134,5065,1308,,540,139,,05/22/2020
NH Multiracial,,78,,,16,,,05/22/2020
NH Other,,204,,,13,,,05/22/2020
NH White,2408190,12891,535,,2661,110,,05/22/2020
Unknown,,14046,,,89,,,05/22/2020
Hispanic,589809,7185,1218,,324,55,,05/23/2020
NH American Indian or Alaskan Native,9566,39,408,,1,10,,05/23/2020
NH Asian or Pacific Islander,177966,589,331,,36,20,,05/23/2020
NH Black,387134,5156,1332,,542,140,,05/23/2020
NH Multiracial,,80,,,16,,,05/23/2020
NH Other,,215,,,13,,,05/23/2020
NH White,2408190,13557,563,,2689,112,,05/23/2020
Unknown,,13647,,,72,,,05/23/2020
Hispanic,589809,7243,1228,,325,55,,05/24/2020
NH American Indian or Alaskan Native,9566,39,408,,1,10,,05/24/2020
NH Asian or Pacific Islander,177966,592,333,,35,20,,05/24/2020
NH Black,387134,5208,1345,,550,142,,05/24/2020
NH Multiracial,,83,,,17,,,05/24/2020
NH Other,,222,,,15,,,05/24/2020
NH White,2408190,13795,573,,2730,113,,05/24/2020
Unknown,,13691,,,69,,,05/24/2020
Hispanic,589809,7311,1239,1416,327,55,103,05/25/2020
NH American Indian or Alaskan Native,9566,39,408,443,1,10,,05/25/2020
NH Asian or Pacific Islander,177966,599,336,344,36,20,31,05/25/2020
NH Black,387134,5249,1355,1372,557,144,168,05/25/2020
NH Multiracial,,85,,,19,,,05/25/2020
NH Other,,222,,,14,,,05/25/2020
NH White,2408190,13913,578,443,2748,114,63,05/25/2020
Unknown,,13885,,,67,,,05/25/2020
Hispanic,589809,7316,1240,,334,57,,05/26/2020
NH American Indian or Alaskan Native,9566,39,408,,2,21,,05/26/2020
NH Asian or Pacific Islander,177966,596,335,,36,20,,05/26/2020
NH Black,387134,5248,1356,,560,145,,05/26/2020
NH Multiracial,,95,,,23,,,05/26/2020
NH Other,,220,,,13,,,05/26/2020
NH White,2408190,13951,579,,2764,115,,05/26/2020
Unknown,,13823,,,71,,,05/26/2020
Hispanic,589809,7359,1248,1418,332,56,105,05/27/2020
NH American Indian or Alaskan Native,9566,40,418,445,2,21,,05/27/2020
NH Asian or Pacific Islander,177966,599,337,343,37,21,31,05/27/2020
NH Black,387134,5285,1365,1372,566,146,169,05/27/2020
NH Multiracial,,97,,,24,,,05/27/2020
NH Other,,223,,,13,,,05/27/2020
NH White,2408190,14059,584,443,2791,116,63,05/27/2020
Unknown,,13897,,,61,,,05/27/2020
